Title,Concept,Difficulty,Acceptance,LeetCodeLink,popularity
Longest ZigZag Path in a Binary Tree,Trees,Medium,52.20%,https://leetcode.com/problems/longest-zigzag-path-in-a-binary-tree/,368947
Maximum Sum BST in Binary Tree,Two Pointers,Hard,44.10%,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree/,229838
Maximum Performance of a Team,1-D Dynamic Programming,Hard,30.10%,https://leetcode.com/problems/maximum-performance-of-a-team/,217147
Longest Happy Prefix,1-D Dynamic Programming,Hard,38.70%,https://leetcode.com/problems/longest-happy-prefix/,143190
Longest Happy String,1-D Dynamic Programming,Medium,44.00%,https://leetcode.com/problems/longest-happy-string/,311359
Longest Substring Without Repeating Characters,Trees,Medium,29.80%,https://leetcode.com/problems/longest-substring-without-repeating-characters/,20773492
Maximum Subarray,Arrays & Hashing,Easy,45.90%,https://leetcode.com/problems/maximum-subarray/,9774055
Decode Ways,1-D Dynamic Programming,Medium,23.90%,https://leetcode.com/problems/decode-ways/,4035305
Maximum Depth of Binary Tree,Trees,Easy,64.50%,https://leetcode.com/problems/maximum-depth-of-binary-tree/,5281626
Binary Tree Maximum Path Sum,Two Pointers,Hard,32.60%,https://leetcode.com/problems/binary-tree-maximum-path-sum/,3925520
Maximum Depth of N-ary Tree,Trees,Easy,67.70%,https://leetcode.com/problems/maximum-depth-of-n-ary-tree/,447144
Longest Harmonious Subsequence,1-D Dynamic Programming,Easy,45.70%,https://leetcode.com/problems/longest-harmonious-subsequence/,516920
Maximum Average Subarray I,Arrays & Hashing,Easy,41.00%,https://leetcode.com/problems/maximum-average-subarray-i/,1905966
Maximum Binary Tree,Trees,Medium,78.70%,https://leetcode.com/problems/maximum-binary-tree/,389079
Longest Univalue Path,1-D Dynamic Programming,Easy,35.40%,https://leetcode.com/problems/longest-univalue-path/,481472
Max Area of Island,Graphs,Medium,61.00%,https://leetcode.com/problems/max-area-of-island/,1474625
Longest Common Subsequence,1-D Dynamic Programming,Medium,57.90%,https://leetcode.com/problems/longest-common-subsequence/,2601520
Maximum Length of a Concatenated String with Unique Characters,1-D Dynamic Programming,Medium,46.00%,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/,565152
Spiral Matrix,2-D Dynamic Programming,Medium,33.00%,https://leetcode.com/problems/spiral-matrix/,3645299
Spiral Matrix II,2-D Dynamic Programming,Medium,51.90%,https://leetcode.com/problems/spiral-matrix-ii/,950185
Set Matrix Zeroes,2-D Dynamic Programming,Medium,42.30%,https://leetcode.com/problems/set-matrix-zeroes/,3501730
Search a 2D Matrix,Binary Search,Medium,36.00%,https://leetcode.com/problems/search-a-2d-matrix/,4609387
Search a 2D Matrix II,Binary Search,Medium,42.50%,https://leetcode.com/problems/search-a-2d-matrix-ii/,2116365
Sparse Matrix Multiplication,2-D Dynamic Programming,Medium,59.80%,https://leetcode.com/problems/sparse-matrix-multiplication/,306373
Kth Smallest Element in a Sorted Matrix,Arrays & Hashing,Medium,52.70%,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/,1138349
Random Flip Matrix,2-D Dynamic Programming,Medium,35.70%,https://leetcode.com/problems/random-flip-matrix/,59847
01 Matrix,2-D Dynamic Programming,Medium,38.70%,https://leetcode.com/problems/01-matrix/,1467447
Logical OR of Two Binary Grids Represented as Quad-Trees,Two Pointers,Medium,43.80%,https://leetcode.com/problems/logical-or-of-two-binary-grids-represented-as-quad-trees/,34057
Reshape the Matrix,2-D Dynamic Programming,Easy,60.00%,https://leetcode.com/problems/reshape-the-matrix/,666985
Pyramid Transition Matrix,2-D Dynamic Programming,Medium,54.00%,https://leetcode.com/problems/pyramid-transition-matrix/,70894
Toeplitz Matrix,2-D Dynamic Programming,Easy,63.90%,https://leetcode.com/problems/toeplitz-matrix/,590735
Magic Squares In Grid,2-D Dynamic Programming,Easy,36.70%,https://leetcode.com/problems/magic-squares-in-grid/,287328
Score After Flipping Matrix,2-D Dynamic Programming,Medium,71.60%,https://leetcode.com/problems/score-after-flipping-matrix/,197327
Transpose Matrix,2-D Dynamic Programming,Easy,63.20%,https://leetcode.com/problems/transpose-matrix/,672439
Spiral Matrix III,2-D Dynamic Programming,Medium,68.20%,https://leetcode.com/problems/spiral-matrix-iii/,198429
Grid Illumination,2-D Dynamic Programming,Hard,35.50%,https://leetcode.com/problems/grid-illumination/,64698
Matrix Cells in Distance Order,2-D Dynamic Programming,Easy,65.10%,https://leetcode.com/problems/matrix-cells-in-distance-order/,96696
Shortest Path in Binary Matrix,Trees,Medium,37.40%,https://leetcode.com/problems/shortest-path-in-binary-matrix/,1396869
Cells with Odd Values in a Matrix,2-D Dynamic Programming,Easy,78.00%,https://leetcode.com/problems/cells-with-odd-values-in-a-matrix/,166243
Reconstruct a 2-Row Binary Matrix,Trees,Medium,39.30%,https://leetcode.com/problems/reconstruct-a-2-row-binary-matrix/,65834
Minimum Number of Flips to Convert Binary Matrix to Zero Matrix,Trees,Hard,69.00%,https://leetcode.com/problems/minimum-number-of-flips-to-convert-binary-matrix-to-zero-matrix/,51506
Shortest Path in a Grid with Obstacles Elimination,Trees,Hard,42.20%,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination/,536683
Matrix Block Sum,Two Pointers,Medium,72.40%,https://leetcode.com/problems/matrix-block-sum/,131474
Sort the Matrix Diagonally,2-D Dynamic Programming,Medium,77.70%,https://leetcode.com/problems/sort-the-matrix-diagonally/,218595
The K Weakest Rows in a Matrix,2-D Dynamic Programming,Easy,68.60%,https://leetcode.com/problems/the-k-weakest-rows-in-a-matrix/,539421
Count Negative Numbers in a Sorted Matrix,Arrays & Hashing,Easy,77.80%,https://leetcode.com/problems/count-negative-numbers-in-a-sorted-matrix/,638783
Minimum Cost to Make at Least One Valid Path in a Grid,2-D Dynamic Programming,Hard,52.10%,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid/,216155
Lucky Numbers in a Matrix,2-D Dynamic Programming,Easy,72.70%,https://leetcode.com/problems/lucky-numbers-in-a-matrix/,344530
Check if There is a Valid Path in a Grid,2-D Dynamic Programming,Medium,44.70%,https://leetcode.com/problems/check-if-there-is-a-valid-path-in-a-grid/,69758
Shift 2D Grid,2-D Dynamic Programming,Easy,61.10%,https://leetcode.com/problems/shift-2d-grid/,173245
Critical Connections in a Network,Two Pointers,Hard,48.70%,https://leetcode.com/problems/critical-connections-in-a-network/,486225
Number of Operations to Make Network Connected,Two Pointers,Medium,51.10%,https://leetcode.com/problems/number-of-operations-to-make-network-connected/,455265
Network Delay Time,Two Pointers,Medium,45.40%,https://leetcode.com/problems/network-delay-time/,1202656
Median of Two Sorted Arrays,Two Pointers,Hard,28.70%,https://leetcode.com/problems/median-of-two-sorted-arrays/,7927221
Next Permutation,Arrays & Hashing,Medium,31.90%,https://leetcode.com/problems/next-permutation/,4330157
Find First and Last Position of Element in Sorted Array,Arrays & Hashing,Medium,35.30%,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/,5840898
Permutations,Arrays & Hashing,Medium,61.10%,https://leetcode.com/problems/permutations/,3288801
Permutations II,Arrays & Hashing,Medium,44.70%,https://leetcode.com/problems/permutations-ii/,1823378
Rotate Image,Arrays & Hashing,Medium,54.20%,https://leetcode.com/problems/rotate-image/,3011918
Permutation Sequence,Arrays & Hashing,Medium,35.60%,https://leetcode.com/problems/permutation-sequence/,973321
Remove Duplicates from Sorted Array II,Two Pointers,Medium,42.90%,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,2532342
Search in Rotated Sorted Array II,Binary Search,Medium,33.00%,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,2569733
Remove Duplicates from Sorted List II,Two Pointers,Medium,35.70%,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,1880660
Remove Duplicates from Sorted List,Two Pointers,Easy,44.60%,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,3609283
Convert Sorted List to Binary Search Tree,Trees,Medium,45.60%,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree/,950488
Find Minimum in Rotated Sorted Array,Arrays & Hashing,Medium,44.30%,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,4726802
Find Minimum in Rotated Sorted Array II,Arrays & Hashing,Hard,40.30%,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array-ii/,1220130
Two Sum II - Input array is sorted,Two Pointers,Easy,52.90%,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted/,4366422
Minimum Size Subarray Sum,Two Pointers,Medium,37.00%,https://leetcode.com/problems/minimum-size-subarray-sum/,3029774
